text,translated,backtranslated,similarity_score
Adjusted level 2: Presido announce new restrictions for South Africa to contain Coronavirus.,Ipele ti a ṣatunṣe 2: Ààrẹ kéde àwọn ìkálọ́wọ́kò tuntun fún Gúúsù Áfíríkà láti dènà Coronavirus.,Amended Level 2: The President announces new restrictions for South Africa to prevent Coronavirus.,0.8624304533004761
'What kind of nonsense is that?' - Prophet descends on GRNMA.,'Èwo nínú òmùgọ̀ ni èyí?' - Àlùfáà sọ̀rọ̀ lórí GRNMA.,'What kind of foolishness is this?' - Priest on GRNMA.,0.7166366577148438
2023 AFCON: Ivory Coast Cote coach slams Nigeria for being overly defensive.,2023 AFCON: Olùkọ́ ilé ẹ̀kọ́ Ivory Coast Cote bẹnu àtẹ́ lu Nàìjíríà fún dídáàbòbò jù.,2023 AFCON: Ivory Coast coach Cote criticizes Nigeria for being too defensive.,0.9356572031974792
DKB and DJ Slim lock horns online.,DKB àti DJ Slim ti fi ìwo wọn sí ìkànnì.,DKB and DJ Slim have posted their horns online.,0.8699891567230225
"Dr Apostle Amagashie warns men against popular lovemaking position, cites stroke risk.","Dókítà Apostle Amagashie kìlọ̀ fún àwọn ọkùnrin nípa ipò tí ó gbajúmọ̀ fún ìbálòpọ̀, ó méfò ewu àrùn rọpárọsẹ̀.","Dr. Apostle Amagashie warned men about the popularity of sex, warning of the risk of stroke.",0.8319154381752014
Police arrest alleged serial motorbike thief.,Àwọn ọlọ́pàá mú ẹni tí wọ́n sọ pé ó ń jí alùpùpù alùpùpù kiri.,Police arrested the suspected motorcycle thief.,0.7913413047790527
"FIFA imposes transfer ban on Hearts of Oak over unsettled $150,000 debt.","FIFA fi òfin de àwọn òṣèré Hearts of Oak lórí gbèsè tí kò tíì san tó $150,000.","FIFA suspended the Hearts of Oak players for unpaid debts of $150,000.",0.7926287651062012
'Mickey Mouse' boxer toasts Cape Verde's first Olympic medal.,'Awọn agbọnrin Mickey' ṣe ayẹyẹ fun Cape Verde fun ami ẹyẹ Olimpiiki akọkọ wọn.,'Mickey's band' celebrates Cape Verde for their first Olympic medal.,0.7217267155647278
APP leader reacts after court throws out injunction against Akwatia by-election.,Olórí APP fèsì lẹ́yìn tí ilé ẹjọ́ ti kọ àṣẹ ìkọ̀sílẹ̀ sí ìdìbò àbò Akwatia.,APP chief responds after court rejects divorce order against Akwatia constituency,0.6850616931915283
"Igbo leader addresses land acquisition allegations, apologises to Ghanaians.","Olórí Ìgbo sọ̀rọ̀ lórí ẹ̀sùn ìkó ilẹ̀, ó tọrọ àforíjì lọ́wọ́ àwọn ará Ghana.","Igbo chief spoke out against the land grabbing allegations, apologizing to Ghanaians.",0.8900032043457031
Bukom Arena gets face-lift to host Basketball games.,Àgbàlá Bukom Arena ń ṣe àtúnṣe ojú láti gba àwọn eré bọ́ọ̀lù bọ́ọ̀lù àfẹsẹ̀gbá.,Bukom Arena is undergoing renovations to host basketball games.,0.7956407070159912
"Afenyo-Markin apologises to Prof Ayensu-Danquah over 'strangely, you get a ministerial appointment' comment.",Afenyo-Markin tọrọ àforíjì lọ́wọ́ Ọ̀jọ̀gbó Ayensu-Danquah lórí ọ̀rọ̀ tó sọ pé 'ó yani lẹ́nu pé wọ́n yàn ọ́ sípò minisita.',Afenyo-Markin apologized to Prof. Ayensu-Danquah for saying that 'it was a surprise that you were appointed to the post of minister.',0.8426650166511536
Asawa National Open Championship slated for June 19.,Àkójọ ìdíje Asawa National Open Championship tí a yàn fún June 19.,The Asawa National Open Championship is scheduled for June 19.,0.972741425037384
LIVESTREAMED: Kwaku Dawuro presents The Movement in the Morning Political Show.,ÀKỌ́SÍ ÀKỌ́SÍ: Kwaku Dawuro ń gbé Ìṣesí Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú Ìṣèlú,KWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWAKWA,0.08673073351383209
"'God willing, I will receive my Lamborghini; I have documents to prove it's mine’ - Shatta Wale.","'Ọlọ́run bá fẹ́, màá gba Lamborghini mi; mo ní ìwé tó fi hàn pé tèmi ni' - Shatta Wale.","'God willing, I will get my Lamborghini; I have a certificate that says it is mine' - Shatta Wale.",0.9258685111999512
"Helicopter Crash: Ibrahim Mahama offers to clear the debts of Dr Murtala, Alhaji Muniru.","Ìjàǹbá ọkọ̀ òfúrufú: Ibrahim Mahama ṣèlérí láti san gbèsè tí Dókítà Murtala, Alhaji Muniru jẹ́.","The plane crash: Ibrahim Mahama promises to pay the debt owed by Dr. Murtala, Alhaji Muniru.",0.8727864027023315
Tennis legend Rafael Nadal to retire in November.,Ògún tẹnísì Rafael Nadal yóò fẹ̀yìn tì ní oṣù kọkànlá.,Tennis great Rafael Nadal will retire in November.,0.9629179835319519
Enforce maternity-friendly workplace policies - Samuel Atidzah.,Ṣe àfikún ìlànà ibi iṣẹ́ tó bá tọ́ sí ìbí - Samuel Atidzah.,Add the rule of the place of work to the birth - Samuel Atidzah.,0.591738760471344
GEC Open returns to Ghana.,GEC Open padà sí Ghana.,The GEC Open returned to Ghana.,0.9459337592124939
'From dawn raid to helping with investigation to arraignment' - Azar calls out IGP over arrest of NPP activist.,'Láti ìkọlù àárọ̀ títí dé ìrànlọ́wọ́ nínú ìwádìí títí dé ìgbéjọ́' - Azar ké sí IGP lórí ìmúkúrò àwọn òṣìṣẹ́ NPP.,'From morning raid to help in investigation to trial' - Azar appeals to IGP on NPP officers' removal,0.8029274344444275
Home-based Ghana players seek more opportunities after good outing against South Africa.,Àwọn agbábọ́ọ̀lù Ghana tí wọ́n ń gbé ní ilé wọn ń wá àwọn àyè púpọ̀ sí i lẹ́yìn tí wọ́n ṣe dáadáa ní South Africa.,Ghana's home team is looking for more opportunities after their good performances in South Africa.,0.9112988710403442
Akwatia By-Election: We cannot be intimidated - NPP’s Haruna Mohammed.,Akwatia By-Election: A kò le jẹ́ kí wọ́n dẹ́rù bà wá - NPP s Haruna Mohammed.,Akwatia By-Election: We cannot allow them to intimidate us - NPP's Haruna Mohammed,0.902268648147583
Some top Ghanaian musicians who ditched secular music for ministry.,Àwọn gbajúgbajà olórin ará Gánà kan tí wọ́n fi orin ayé sílẹ̀ nítorí iṣẹ́ òjíṣẹ́.,Some Ghanaian musicians who gave up the world of music for the ministry.,0.8665255904197693
Joseph Awinongya Jr emerges as number 1 boxer in the USA in top 6 u-20 amateur boxers.,Joseph Awinongya Jr. di oludije nọmba 1 ni Amẹrika ninu awọn oludije ẹlẹsin ẹlẹsin ẹlẹsin mẹfa ti o wa labẹ ọdun 20.,Joseph Awinongya Jr. became the number 1 ranked amateur in the United States out of six amateur boxing competitors under the age of 20.,0.8545573353767395
Amenfi Central set for major road overhaul.,Àárín gbùngbùn Amenfi ti ṣètò fún àtúnṣe ojú ọ̀nà ńlá.,The center of Amenfi has planned the reconstruction of the main road.,0.8001148104667664
Bui Power nets $64.,Owó tó ń wọlé fún Bui Power jẹ́ $64.,Bui Power's income is $64.,0.6393300294876099
"GCTU warns against defamatory publications, threatens legal action.","GCTU kìlọ̀ nípa àwọn ìwé tó ń ba orúkọ ẹni jẹ́, ó sì halẹ̀ mọ́ pé àwọn máa gbé ìgbésẹ̀ ẹjọ́.",The GCTU warned against defamatory publications and threatened legal action.,0.960421621799469
American porn star Nasir sends message to Shugatiti as ‘orgasm’ challenge delays.,Òṣèré oníhòòhò ará Amẹ́ríkà Nasir ránṣẹ́ sí Shugatiti bí orgasm challenge delay.,American porn actress Nasir posted to Shugatiti as an orgasm delay challenge.,0.9124727845191956
I won 'contentious' unannounced 2019 VGMA Artiste of the Year Award - Stonebwoy claims.,Mo gba 'àríyànjiyàn' tí a kò kéde 2019 VGMA Artiste of the Year Award - Stonebwoy sọ pé.,I won the controversial unannounced 2019 VGMA Artist of the Year Award - Stonebwoy said.,0.8645423650741577
Helicopter Crash: 'You have not won; Christ has' – Wife of Sergeant Mensah shames death.,Ìjàpá Helicopter: 'Ìwọ kò ṣẹ́gun; Kristi ló ṣẹ́gun'  Ìyàwó Sẹ́sátán Mensah ń fi ikú ṣe ìtìjú.,Helicopter attack: 'You did not win; Christ won' Satan Mensah's wife is shamed by death.,0.8186823725700378
'He took me in and mentored me' - Ofori Amponsah delivers a heartfelt tribute to Daddy Lumba.,'Ó gbà mí wọlé ó sì tọ́ mi sọ́nà' - Ofori Amponsah fi ọ̀wọ̀ àtọkànwá fún Daddy Lumba.,'He welcomed me and guided me' - Ofori Amponsah has a heartfelt tribute to Daddy Lumba.,0.9439408779144287
'How can I enter a house with familiar spirits' - Appiah Danquah reacts to NPP's amnesty for members.,'Báwo ni mo ṣe lè wọlé pẹ̀lú àwọn ẹ̀mí tí mo mọ̀' - Appiah Danquah fèsì sí àánú tí NPP ṣe fún àwọn ọmọ ẹgbẹ́ rẹ̀.,'How can I enter with spirits I know' - Appiah Danquah responds to NPP's charity for her members.,0.8079283833503723
High cholesterol can cause black toes and feet – Health expert.,Àpò kọlísítà tó ga lè fa kí àwọn ọmọ ìka àti ẹsẹ̀ di dúdú  Ògbógi nínú ìlera.,High cholesterol can cause dark circles on the toes and toes.,0.7589146494865417
Rev.,Olùkọ́.,Teacher.,0.3068053126335144
Ato Forson backs calls for fair deal on Africa's $1.,Ato Forson ti ṣe àtìlẹyìn fún àdéhùn tó tọ́ lórí owó dólar kan tí Áfíríkà ń ná.,Ato Forson has supported a fair deal on the African dollar.,0.8306798934936523
"Homowo: Nii Okanta Ankrah II calls for unity, peace and teamwork.","Homowo: Nii Okanta Ankrah II pe fun iṣọkan, alaafia ati iṣẹ ẹgbẹ.","Homowo: Nii Okanta Ankrah II called for unity, peace and teamwork.",0.984460711479187
NPP would have still punished Akua Afriyie if she had won – Nana Akomea.,NPP ì bá ṣì fìyà jẹ Akua Afriyie bí ó bá ti ṣẹ́gun  Nana Akomea.,The NPP would still have punished Akua Afriyie if he had defeated Nana Akomea.,0.9474949836730957
A producer told me ‘Agya W’ahwe Me So’ was a terrible song with a horrible video – Rose Adjei.,Olùṣelọpọ kan sọ fún mi pé Agya Wahwe Me So jẹ orin tí kò dára rárá pẹ̀lú fídíò tí kò dára rárá Rose Adjei.,A producer told me that Agya Wahwe Me So is a very bad song with a very bad video by Rose Adjei.,0.9046838283538818
"NDC grassroots demand answers over helicopter crash, suspect foul play.","Àwọn ọmọ ẹgbẹ́ NDC ń béèrè ìdáhùn lórí ìjàmbá ọkọ̀ òfúrufú, wọ́n fura sí ìwà àìdáa.","NDC members demand answers on the plane crash, suspecting wrongdoing.",0.6944679021835327
Key takeaways from EOCO's statement on Shatta Wale's Lamborghini case.,Àwọn kókó pàtàkì láti inú àtẹ̀jáde EOCO lórí ọ̀ràn Lamborghini ti Shatta Wale.,Highlights from the EOCO press release on the Lamborghini case of Shatta Wale.,0.7378249168395996
FDA intercepts GH¢11.,Àjọ Ìṣègùn Àjẹsára gba GH11,GH11 is approved by the Society of Immunology,0.7407684326171875
Editorial by Ghanaian Times: Resolve outstanding issues to stem chaos!!.,Àkọlé láti Ghanaian Times: Yanjú àwọn ọ̀ràn tó wà nílẹ̀ láti dáwọ́ rúkèrúdò dúró!!.,Ghanaian Times: Solve the issues to stop the riots!!.,0.8102624416351318
Sharp rise in fire injuries and deaths in first half of 2025 by 33%  – GNFS.,Àìmọye àwọn tó fara pa nínú iná àti àwọn tó kú nínú iná lókè ní ìdá mẹ́ta nínú ọgọ́rùn-ún ọdún 2025  GNFS.,The number of fire-injured and fire-dead is expected to rise by 30% by 2025 GNFS.,0.84234219789505
Why we signed Mohammed Kudus – Tottenham coach Thomas Frank explains.,Ìdí tí a fi gba Mohammed Kudus  Olùkọ́ Tottenham Thomas Frank ṣàlàyé.,Why we accepted Mohammed Kudus Tottenham coach Thomas Frank explained.,0.8470929265022278
"'I love women if you don't understand, go to hell' - Old video of Kofi Jumah resurfaces.","'Mo fẹ́ràn àwọn obìnrin bí ẹ kò bá lóye, ẹ lọ sí ọ̀run àpáàdì' - Àwòrán àtijọ́ ti Kofi Jumah tún yọjú.","'I love women if you don't understand, go to hell' - Old painting of Kofi Jumah reappears.",0.854875385761261
"Islamic Banking: A financial game changer for all Ghanaians, not just Muslims.","Ìbáni-nǹkan-sí-Ilé-ifowópamọ́ Islam: Ìyípadà nínú ètò ìṣúnná owó fún gbogbo ọmọ Ghana, kì í ṣe àwọn Mùsùlùmí nìkan.","Islamic Banking: A change in the financial system for all Ghanaians, not just Muslims.",0.9755586385726929
Screen-Addiction Among Children: A note to parents.,Àwọn Ọmọdé Tó Ń Lo Íńtánẹ́ẹ̀tì Láti Ṣàṣà: Ìmọ̀ràn fún Àwọn Òbí,Internet Addicts: Tips for Parents,0.6696823239326477
Why Fatawu Issahaku was not called up by Otto Addo – GFA explains.,Ìdí tí Fatawu Issahaku kò fi gba ìkésíni láti ọ̀dọ̀ Otto Addo  GFA ṣàlàyé.,Why Fatawu Issahaku did not accept the invitation from Otto Addo GFA explained.,0.7664770483970642
Agradaa’s parents slam brother for locking out Angel Asiamah from property.,Àwọn òbí Agradaa bẹ̀rẹ̀ sí í fi ẹ̀gbọ́n wọn ṣe yẹ̀yẹ́ nítorí pé ó ti fi Àńgẹ́lì Asiamah sílẹ̀.,Agradaa's parents started to make fun of their brother because he had left Angel Asiamah.,0.7490689158439636
Ablekuma North Rerun: Ayawaso North MP reacts to alleged journalist assault.,Ablekuma North Rerun: Aṣofin Ayawaso North fèsì sí ìfipábánilòpọ̀ tí wọ́n fi kan akọ̀ròyìn.,Ablekuma North Rerun: A deputy of Ayawaso North responded to a rape case against a journalist.,0.8785405158996582
"Ghana Armwrestling sends goodwill message to BECE, WASSCE candidates.","Ẹgbẹ́ agbábọ́ọ̀lù ọwọ́ Ghana ránṣẹ́ ìkíni rere sí àwọn olùdíje nínú ìdíje BECE, WASSCE.","Ghana national handball team sends its best wishes to the participants of the BECE, WASSCE tournament.",0.6265408396720886
Military officer’s wife begins attempt to break GWR for Longest Reading Aloud Marathon.,Ìyàwó òṣìṣẹ́ ológun bẹ̀rẹ̀ ìsapá láti fọ GWR fún Ìpínlẹ̀ Ìkàwé Gígùn Jù Lọ.,The military officer's wife initiated an effort to clear GWR for the Higher Education District.,0.5248078107833862
Sammy Flex speaks after reassignment in Shatta Wale’s management.,Sammy Flex sọ̀rọ̀ lẹ́yìn tí wọ́n tún yan òun sípò nínú ètò Shatta Wale.,Sammy Flex speaks after his re-election in the Shatta Wale system.,0.8667640686035156
Ghanaians shocked by death of President Mills.,Ìyàlẹ́nu ńlá ló jẹ́ fún àwọn ará Ghana nítorí ikú Ààrẹ Mills.,The death of President Mills came as a shock to Ghanaians.,0.9438223242759705
"National Delegates Conference: NPP NEC set to reject petition from Akufo-Addo, Kufuor.","Àpérò àwọn Aṣojú Orílẹ̀-èdè: Ìgbìmọ̀ Aṣojú Orílẹ̀-èdè NPP ti pinnu láti kọ̀ láti gba ìwé ìkésíni láti ọ̀dọ̀ Akufo-Addo, Kufuor.","National Delegation Conference: The National Delegation Committee of the NPP has decided to refuse to accept an invitation from Akufo-Addo, Kufuor.",0.7017024755477905
Ghanaians must see the lessons we have learned - Dr Bawumia.,Àwọn ọmọ Ghana gbọ́dọ̀ rí àwọn ẹ̀kọ́ tí a ti kọ́ - Dókítà Bawumia.,Ghanaians should see the lessons we have learned - Dr Bawumia.,0.9877250790596008
One dead in fire outbreak at uncompleted fuel station near Ejura.,Ọkan ti kú nínú iná tó jó ní ibùdó epo tí wọn kò tíì parí ní àgbègbè Ejura.,One has died in a fire at an unfinished oil refinery in the Ejura region.,0.7629427313804626
"'Rubbish, on which road?' – Nigeria’s Formula 1 hosting bid sparks backlash on social media.","'Èrò òdì, ọ̀nà wo ni ó yẹ kí n gbà?'  Àdéhùn láti gba Fọọmu 1 ní Nàìjíríà fa àríyànjiyàn lórí ẹ̀rọ-ayélujára.","'Unfortunate, which way should I go?'The deal to host Formula 1 in Nigeria sparked controversy on social media.",0.7768080830574036
'My life changed after the accident' - McBrown speaks after arm surgery.,'Ìgbésí ayé mi yí padà lẹ́yìn jàǹbá náà' - McBrown sọ lẹ́yìn iṣẹ́ abẹ apá.,'My life changed after the accident' - McBrown says after arm surgery.,0.9271787405014038
Democracy Cup: Deputy EC boss calls for participation in curtain-raiser fixtures.,Democracy Cup: Igbakeji olori EC n pe fun ikopa ninu awọn ohun ọṣọ ti o gbe aṣọ-ikele.,Democracy Cup: EC vice-chairman calls for participation in the flag-raising events.,0.6791159510612488
FULL LIST: NPP approves 54 motions at 2025 Delegates Conference.,Àkọlé àwòrán NPP fọwọ́ sí àwọn àbá 54 ní ìpàdé àwọn aṣojú 2025.,The NPP drafted 54 proposals at the 2025 delegates meeting.,0.6895715594291687
Four times Afia Schwar has been embroiled in legal battles.,Ìgbà mẹ́rin ni Afia Schwar ti kó sínú ìjà òfin.,Afia Schwar has been involved in four legal battles.,0.9318436980247498
LIVESTREAMED: Parliament debates Ablekuma North rerun violence.,LIVESTREAMED: Ilé ìgbìmọ̀ aṣòfin ń jíròrò ìwà ipá Ablekuma North.,LIVESTREAMED: Parliament is discussing the violence in Ablekuma North.,0.9155862927436829
"Appau-Klu denies allegations of land encroachment, abuse of power.","Appau-Klu sẹ̀sùn tí wọ́n fi kàn án pé ó ti fi ilẹ̀ rẹ̀ jẹ, ó sì ti ṣi agbára lò.",Appau-Klu was accused of embezzling his land and abusing his power.,0.8104239106178284
Spotlight on Lumba's first 'Yee Ye Aka Akwantuom' album.,"Ojúlówó àtẹ̀jáde lórí àtẹ̀jáde àkọ́kọ́ tí Lumba ṣe, 'Yee Ye Aka Akwantuom'.","The official poster for Lumba's first album, 'Yee Ye Aka Akwantuom'.",0.8594972491264343
KIA begins enforcing reintroduced COVID-19 measures.,KIA bẹrẹ si ni mu awọn igbese COVID-19 ti a tun ṣe.,KIA began to implement the re-imposed COVID-19 measures.,0.9193472266197205
BoG puts digital credit services under regulation to boost financial inclusion.,BoG fi awọn iṣẹ kirẹditi oni-nọmba labẹ ilana lati ṣe igbelaruge ifisi owo.,BoG placed digital credit services under regulation to promote financial inclusion.,0.9563161730766296
Fatau Dauda confident of Black Stars wins against Chad and Mali.,Fatau Dauda ní ìdánilójú nínú àwọn Black Stars tí ó ṣẹ́gun Chad àti Mali.,Fatau Dauda is confident in the Black Stars who won against Chad and Mali.,0.9499292373657227
'I am committed to continue the legacy of late Dr Murtala Mohammed' – Princess Naama.,'Mo ti ṣe ileri lati tẹsiwaju ogún ti Dr Murtala Mohammed ti o pẹ'  Ọmọbinrin Naama.,'I have pledged to carry on the legacy of the late Dr Murtala Mohammed's daughter Naama.,0.8265619874000549
Watch as M.,Ẹ máa wò ó bí M.,Consider the example of M.,0.4949931800365448
First cholera cases confirmed across three districts in the Ashanti Region.,Àwọn ènìyàn tí wọ́n kọ́kọ́ ní àrùn kólẹ́rà ni wọ́n rí ní àwọn agbègbè mẹ́ta ní Àgbègbè Ashanti.,The first cases of cholera were detected in three districts of Ashanti Region.,0.9619951844215393
GH¢20m Defamation Suit: Empress Gifty's lawyer confirms Agradaa seeks case transfer.,GH¢20m Defamation Suit: Agbẹjọro Empress Gifty jẹrisi pe Agradaa n beere fun gbigbe ọran naa.,GH¢20m Defamation Suit: Empress Gifty's lawyer confirms that Agradaa is requesting the transfer of the case.,0.9846657514572144
Mohammed Kudus shines with assist on Tottenham debut in Reading win.,Mohammed Kudus tàn pẹ̀lú ìrànlọ́wọ́ nínú eré àkọ́kọ́ Tottenham nínú ìṣẹ́gun Reading.,Mohammed Kudus shone with an assist in Tottenham's first game win over Reading.,0.8731728196144104
Read full details of official brochure on 8 fallen heroes from tragic August 6 helicopter crash.,Ka gbogbo alaye ti iwe iroyin osise lori 8 awọn akikanju ti o ṣubu lati ijamba ọkọ ofurufu ọkọ ofurufu ti Oṣu Kẹjọ Ọjọ 6.,Read the full details of the official press release on the 8 heroes who fell from the helicopter crash of August 6.,0.8757721781730652
Kojo Barnni beats Torgah on sudden death to win 9th edition of Gold Fields PGA Championship.,Kojo Barnni ṣẹgun Torgah lórí ikú òjijì láti gba ife ẹ̀yẹ Gold Fields PGA Championship.,Kojo Barnni defeated Torgah to sudden death to win the Gold Fields PGA Championship.,0.9068260192871094
'He has taken all my happiness away' – Daddy Lumba's sister cries.,'Ó ti gba gbogbo ayọ̀ mi lọ́wọ́ mi'  Arábìnrin Bàbá Lumba ń sunkún.,'He has taken all my happiness from me' Sister Baba Lumba cries.,0.8214396238327026
'Nowhere does the law empower you to judge professorial titles' – Barker-Vormawor to GTEC.,'Kò síbi tí òfin ti fún ọ láṣẹ láti dá àwọn oyè olùkọ́ lẹ́jọ́'  Barker-Vormawor sí GTEC.,'You are not legally entitled to sue teachers' Barker-Vormawor against GTEC.,0.6293336749076843
'I love Stonebwoy; his talent is beyond the shores of Ghana' - Video of late Murtala resurfaces.,'Mo fẹ́ràn Stonebwoy; ẹ̀bùn rẹ̀ kọjá etíkun Gánà' - Fidio ti olóògbé Murtala tún yọjú.,'I love Stonebwoy; his talent goes beyond the shores of Ghana' - Video of late Murtala surfaces again.,0.9765409231185913
Trump says 11 killed in US strike on drug-carrying vessel from Venezuela.,Trump sọ pé 11 ni ó kú nínú ìkọlù US lórí ọkọ̀ ojú omi tó ń gbé oògùn olóró láti Venezuela.,Trump says 11 were killed in a US attack on a Venezuelan drug ship.,0.8937839269638062
Paul Adom-Otchere ordered to appear before Special Prosecutor over GACL audit deal.,Paul Adom-Otchere pàṣẹ láti fara hàn níwájú Agbẹjọ́rò Àkànṣe lórí àdéhùn àyẹ̀wò GACL.,Paul Adom-Otchere was ordered to appear before the Special Counsel on the GACL review agreement.,0.8471233248710632
Artistes who have sampled Daddy Lumba’s classic songs.,Àwọn olórin tí wọ́n ti fi àwọn orin tí Daddy Lumba kọ́kọ́ kọ ṣe àwòkọ́ṣe.,Musicians who have modeled their music on the early works of Daddy Lumba.,0.7853336930274963
