text
Aa ɛdan ne mu
Abaayewa ketewa bi wɔ
Abaayewa ketewa bi ɛte
Abaayewa mmienu nso gyina
Abaayewa na wɔyi ne
Abaayewa ne baako de
Abaayewa no ataadeɛ yɛ
Abaayewa no de ahweneɛ
Abaayewa no de deɛ
Abaayewa no de fon
Abaayewa no gyiina hɔ
Abaayewa no gyina abɛɛmuwa
Abaayewa no hyɛ ataade
Abaayewa no hyɛ ataadeɛ
Abaayewa no hyɛ ataare
Abaayewa no hyɛ ntaade
Abaayewa no ne aberewa
Abaayewa no ne bɛɛma
Abaayewa no nso hyɛ
Abaayewa no so biribi
Abaayewa no te nneɛma
Abaayewa no tirinwi yɛ
Abaayewa no wabɔ ne
Abaayewa nso bi gyina
Abaayewa nso ɛka wɔn
Abaayewa panyimu bi ne
Abaayewa teatea bi de
Abaayewa yi de ahwehwɛniwa
Abaayewa yi repepa fam
Abaayewa yi ɛyɛ bibini
Abaayewa ɛte akonwa so
Abaayewaa yi te so
Ababaa ahyehɛ nneɛma wɔ
Ababaa baako abɔ ne
Ababaa baako fa yɛ
Ababaa bi gyina deɛ
Ababaa ketewa baako de
Ababaa kɔkɔɔ no kura
Ababaa ne mma abien
Ababaa no abɔ ne
Ababaa no asiesie ne
Ababaa no hyɛ ataadeɛ
Ababaa ɔde aduan ɛgu
Ababaawa ahoɔfɛfoɔ no adi
Ababaawa baako apegyɛ ne
Ababaawa baako gyina ne
Ababaawa baako gyina wɔn
Ababaawa baako nso de
Ababaawa baako nso gyina
Ababaawa bi ahyehyɛ ne
Ababaawa bi gyina hɔ
Ababaawa bi gyina wɔn
Ababaawa bi nso di
Ababaawa bi nso gyina
Ababaawa bi nso ka
Ababaawa bi nso te
Ababaawa bi te nneɛma
Ababaawa nahofama no yɛ
Ababaawa ne aberanteɛ bi
Ababaawa ne abranteɛ no
Ababaawa ne hyɛ ataare
Ababaawa ne nkwadaa mmienu
Ababaawa ne ti ayɛ
Ababaawa no abɔ ne
Ababaawa no asɔ ne
Ababaawa no bi hyɛ
Ababaawa no de adeɛ
Ababaawa no de baagi
Ababaawa no de kyiniiɛ
Ababaawa no de ne
Ababaawa no hyɛ ataade
Ababaawa no hyɛ atade
Ababaawa no hyɛ kɔnmuadeɛ
Ababaawa no hyɛ tumtum
Ababaawa no kita adeɛ
Ababaawa no nso de
Ababaawa no nso gyina
Ababaawa no ogyina hɔ
Ababaawa no so adeɛ
Ababaawa no te fam
Ababaawa no yɛ Bibini
Ababaawa nso ka wɔ
Ababaawa yi gyina hɔ
Ababaawa yi ne aberewa
Ababaawa yi wɔ ne
Ababaawa ɔwɔ akyi no
Abafraba benyin ne ho
Abaguafo nso ebinom gyina
Abammɔ adwumayɛfoɔ ne mu
Abammɔfoɔ bebree nso gyinagyina
Abammɔfoɔ mmiɛnsa gyina hɔ
Abammɔfoɔ no bi asosɔ
Aban adwumayɛni no hyɛ
Aban banbɔni nso gyina
Aban edumayɛfo no ama
Aban hobammɔ nnipa ne
Aban mpanimfoɔ bi wɔ
Aban mpaninfoɔ ne asraafoɔ
Aban nanmusifoɔ ahyia wɔ
Aban nipa no nso
Aban nipa nso gyina
Abanbɔfoɔ baasa ne nnipa
Abanbɔfoɔ mmienu nso gyinagyina
Abankɛseɛ no ahosuo no
Abansoro afoforɔ pii nso
Abansoro ahodoɔ nso atwa
Abansoro akɛseɛ nso sisi
Abansoro atenten ammiɛnsa nso
Abansoro bebree toatoa so
Abansoro bebree wɔ bankum
Abansoro bebree wɔ benkum
Abansoro bi nso sisi
Abansoro bi wɔ wɔn
Abansoro kaseɛ bi nso
Abansoro no yɛ akɛseakɛseɛ
Abansoro no ɛkala ɛyɛ
Abansoro nso si hɔ
Abansoro nso wɔ fillin
Abansoro sisi hɔ bebree
Abansoro so si hɔ
Abansoro tenten bi sɛ
Abansoro tenten si wɔn
Abansoro wɔ benkum ne
Abansoro wɔ kwan no
Abansoro wɔ wɔn akyi
Abansoro wɔ wɔn nkyɛn
Abansro atenten bebree ɛwɔ
Abantenten si wɔn akyi
Abaranteɛ ne ababawa bi
Abarima no de anyinam
Abarimaa baako atene ne
Abarimaa baako nso kura
Abarimaa ne abaayewa te
Abarimaa ne mmayewa mmienu
Abarimaa tuntum ketewa so
Abarimaa yi ne ababaawa
Abatoɔ adaka no baakop
Abatoɔ ho nneɛma esisi
Abatoɔ mpanimfoɔ no bi
Abatoɔ rekɔ so wɔ
Abatoɔ ɛrekɔ so wɔ
Abayaa bi asɔ ne
Abayaa ne maame baako
Abayewa baako gyina wɔn
Abayewa bi gyina baabi
Abayewa bi ne aberanteɛ
Abayewa bi nso di
Abayewa bi nso gyina
Abayewa bi te so
Abayewa bibini bi de
Abayewa foforɔ bi nso
Abayewa mmienu ka wɔn
Abayewa mmienu ne barima
Abayewa ne abɔfra bi
Abayewa no aka ne
Abayewa no atade no
Abayewa no de ade
Abayewa no gyina nanim
Abayewa no hyɛ atade
Abayewa no hyɛ kyɛ
Abayewa no so biribi
Abayewa nso gyina akyi
Abayewa so kɛseɛ wɔ
Abayewa tuntum bi ne
Abayewa ɛte wɔn anim
Abeawa baako nso hyɛ
Abeawa bi ne maame
Abeawa bi nso gyina
Abeawa ne hyɛ ataade
Abeawa no hyɛ ataare
Aberante akwadaa bi nso
Aberante baako ne mmofra
Aberante bi abɔ ne
Aberante bi gyina akyi
Aberante bi gyina hɔ
Aberante ne te ɔpono
Aberante no de biribi
Aberante no hyɛ kyɛw
Aberantewa bi nso hyɛ
Aberantewa bi so egyina
Aberantewaa bi ne obi
Aberantewaa ɛte ɛpono akyi
Aberanteɛ baako apagya ne
Aberanteɛ baako bi de
Aberanteɛ baako bi nso
Aberanteɛ baako de ade
Aberanteɛ baako de bag
Aberanteɛ baako de ne
Aberanteɛ baako gyina wɔn
Aberanteɛ baako nam wɔn
Aberanteɛ baako ne ababaawa
Aberanteɛ baako ne mmaa
Aberanteɛ baako nso abu
Aberanteɛ baako nso asɔre
Aberanteɛ baako nso da
Aberanteɛ baako nso de
Aberanteɛ baako nso gyina
Aberanteɛ baako nso kita
Aberanteɛ baako nso nam
Aberanteɛ baako nso rehwɛ
Aberanteɛ baako nso retwa
Aberanteɛ baako nso te
Aberanteɛ baako nso ɛɛnom
Aberanteɛ baako rekyerɛ wɔn
Aberanteɛ baako retwe ne
Aberanteɛ baako te wɔn
Aberanteɛ baako ɛde ne
Aberanteɛ baako ɛne ne
Aberanteɛ baako ɛte hɔ
Aberanteɛ baako ɛwɔ hɔ
Aberanteɛ bi akuntunu ne
Aberanteɛ bi apagya ne
Aberanteɛ bi atene ne
Aberanteɛ bi da fam
Aberanteɛ bi de adeɛ
Aberanteɛ bi de ne
Aberanteɛ bi de nneɛma
Aberanteɛ bi gyina deɛ
Aberanteɛ bi gyina hɔ
Aberanteɛ bi gyina mu
Aberanteɛ bi gyina ne
Aberanteɛ bi gyina nnipa
Aberanteɛ bi gyina saa
Aberanteɛ bi gyina wɔn
Aberanteɛ bi koto fam
Aberanteɛ bi ne abaayewa
Aberanteɛ bi ne ababaawa
Aberanteɛ bi ne abayewa
Aberanteɛ bi nso afura
Aberanteɛ bi nso agyina
Aberanteɛ bi nso gyina
Aberanteɛ bi nso hyɛ
Aberanteɛ bi nso kita
Aberanteɛ bi nso koto
Aberanteɛ bi nso so
Aberanteɛ bi nso te
Aberanteɛ bi so gyina
Aberanteɛ bi so te
Aberanteɛ bi te fam
Aberanteɛ bi te so
Aberanteɛ bi wɔ dan
Aberanteɛ de ne nsa
Aberanteɛ di wɔn akyi
Aberanteɛ hyɛ batakari ne
Aberanteɛ ne ababaawa bi
Aberanteɛ ne ababaawa gyina
Aberanteɛ ne ababaawa hyɛ
Aberanteɛ ne ababaawa te
Aberanteɛ ne deɛ ɔde
Aberanteɛ ne mmabaawa bi
Aberanteɛ no ababaawa yi
Aberanteɛ no afa ne
Aberanteɛ no ahosuo yɛ
Aberanteɛ no apaake nneɛma
Aberanteɛ no apagya ne
Aberanteɛ no asɔ adeɛ
Aberanteɛ no asɔ aduan
Aberanteɛ no asɔ afidie
Aberanteɛ no baako hyɛ
Aberanteɛ no baako nso
Aberanteɛ no de ade
Aberanteɛ no de ne
Aberanteɛ no de ntoma
Aberanteɛ no egyina ade
Aberanteɛ no gyina dan
Aberanteɛ no gyina kurow
Aberanteɛ no gyina pɔnkɔ
Aberanteɛ no hyɛ ahwehwɛniwa
Aberanteɛ no hyɛ ataa
Aberanteɛ no hyɛ ataadeɛ
Aberanteɛ no hyɛ atade
Aberanteɛ no hyɛ atadeɛ
Aberanteɛ no hyɛ fam
Aberanteɛ no hyɛ kyɛ
Aberanteɛ no nso hyɛ
Aberanteɛ no nso kura
Aberanteɛ no redɛfɛdɛfɛ afidie
Aberanteɛ no te fam
Aberanteɛ no ɛde adeɛ
Aberanteɛ te fam wɔ
Aberanteɛ yi kita ne
Aberanteɛ yi ne ɔbaa
Aberanteɛ yi nso gyina
Aberanteɛ ɛte fɔm ɛwɔ
Aberantsɛ bi gyina hɔ
Aberantsɛ bi nso gyina
Aberantsɛ bi reyɛ adwuma
Aberantsɛ bi so nam
Aberantsɛ no nso abaa
Aberewa baako nso te
Aberewa bi gyina hɔ
Aberewa bi ne nananom
Aberewa bi nso de
Aberewa bi nso gyina
Aberewa ne ababaawa te
Aberewa ne akokora bi
Aberewa ne hyɛ nos
Aberewa ne kura ne
Aberewa no hyɛ atar
Aberewa no resa ade
Aberranteɛ baako te fam
Aberwa baako kita ne
Aberwa no hyɛ ntoma
Aberɛnte ne ababaawa no
Abesriwa no abu ne
Abfra bi da fam
Abfraba nso so gyina
Abiawa no yɛ broni
Abibifo bi tete hɔ
Abibifo na ebinom nso
Abibifo ne Oburoni wɔ
Abibifo nso wɔ mu
Abibifo wɔn tam na
Abibifoɔ atwa afidie ho
Abibifoɔ bebree na wɔato
Abibifoɔ bebree wɔ dwam
Abibifoɔ bi wɔ wɔn
Abibifoɔ ebi nso ɛyɛ
Abibifoɔ mmaa ne mmarima
Abibifoɔ mmaako mmako wɔ
Abibifoɔ mmaayewa ne mmarima
Abibifoɔ mmienu no kita
Abibifoɔ mmiɛnsa ne Aborɔfoɔ
Abibifoɔ mmiɛnsa ne Borɔfoɔ
Abibifoɔ ne Aborɔfoɔ bi
Abibifoɔ ne aborɔfo atwa
Abibifoɔ nkwadaa atwa ne
Abibifoɔ nkwadaa ne mu
Abibifoɔ no bi nso
Abibifoɔ no hyɛ akokɔsrade
Abibifoɔ no hyɛ atadeɛ
Abibifoɔ no wɔ adesua
Abibifoɔ nso atwa hɔ
Abibifoɔ nso gyina stage
Abibifoɔ nso wɔ mu
Abibifoɔ nyinaa wɔ mu
Abibifoɔ rebɔ wɔn tirinwi
Abibirem mu ɔman bi
Abien nso akotow hɔ
Abien nso wato mu
Abien nso wogyina hɔ
Abien nso ɛkor hyɛ
Abien nso ɛtam na
Abien rekyia wɔn nsam
Abien tena pon ho
Abien wɔn kyɛw yɛ
Abiesa de mmofra ahyɛ
Aboa baako gyina hɔ
Aboa bi da fam
Aboa bi koraa wɔ
Aboa bi nam hɔ
Aboa bi nso da
Aboan ne ho da
Aboboyaa hɛnkani no nso
Abobra kakraba bi nso
Aboduaba bi nso tare
Abofra baako apagya ne
Abofra baako nso te
Abofra baako nso ɛda
Abofra baako ɛne ne
Abofra bi apegya ne
Abofra bi atene ne
Abofra bi de aduane
Abofra bi gyina hɔ
Abofra bi hyɛ maame
Abofra bi ne maame
Abofra bi ne nagya
Abofra bi nso egyina
Abofra bi nso gyina
Abofra bi nso hyɛ
Abofra bi nso koto
Abofra bi nso so
Abofra bi nso te
Abofra bi te ne
Abofra bɛrima da ne
Abofra kakraba bi nso
Abofra ketewa bi da
Abofra ketewa bi gyina
Abofra ketewa bi nso
Abofra ne maame no
Abofra ne panyin redi
Abofra no afade yɛ
Abofra no ama ne
Abofra no apira ɛwɔ
Abofra no atene ne
Abofra no atsen ne
Abofra no baako yɛ
Abofra no de aduane
Abofra no hyɛ ataade
Abofra no hyɛ marsk
Abofra no te dan
Abofra no yɛ Obroni
Abofra no ɛne papa
Abofraba bi nso gyina
Abofraba no kita wɔ
Abomu nso wɔ apɔtɔyowa
Abonsan bi bebree so
Aboo no yɛ brown
Aboronsan bebree wɔ ade
Aboronsan bi nso si
Aboronsan bi nso wɔ
Aborosan bebree sisi wɔn
Aborosan bebree wɔ ɛpo
Aborosan bi nso sisi
Aborosan bi sisi wɔn
Aborosan kɛseɛ bi nso
Aborosan nso so wɔ
Aborosan si wɔn benkum
Aborosan tsentsen bi nso
Aborosan wɔ wɔn akyi
Aborosan yellow wɔ wɔn
Aborsan ahorow nso na
Aborɔbɛ ne kwadu nso
Aborɔfo abɔ kyenku wɔ
Aborɔfo atwa ho ahyia
Aborɔfo bebree bi tete
Aborɔfo bebree gyina akyi
Aborɔfo bebree gyina hɔ
Aborɔfo bebree na wɔn
Aborɔfo bebree na ɛwɔ
Aborɔfo bebree ne bibini
Aborɔfo bebree nso gu
Aborɔfo bebree tete mu
Aborɔfo bebree tete nkonnwa
Aborɔfo bebree wɔ dan
Aborɔfo bi ahyia wɔ
Aborɔfo bi ahyia ɛwɔ
Aborɔfo bi ho ahyiana
Aborɔfo bi kura nhoma
Aborɔfo bi ne Abibifoɔ
Aborɔfo bi nso atwa
Aborɔfo bi nso de
Aborɔfo bi nso gyina
Aborɔfo bi nso gyinagyina
Aborɔfo bi nso nenam
Aborɔfo bi nso te
Aborɔfo bi te saa
Aborɔfo bi wɔ ha
Aborɔfo bi wɔahyehyɛ nneɛma
Aborɔfo bi ɛreyɛ adwuma
Aborɔfo binom ahyia wɔ
Aborɔfo mma nnan tete
Aborɔfo mmaa bi ne
Aborɔfo mmaa ne mmarima
Aborɔfo mmarima bebree bi
Aborɔfo mmarima mmienu ne
Aborɔfo mmarima ne mma
Aborɔfo mmarima ne mmea
Aborɔfo mmeɛnsa bi nso
Aborɔfo mmeɛnsa gyina wɔn
Aborɔfo mmienu bi gyina
Aborɔfo mmienu bi te
Aborɔfo mmienu bi wɔ
Aborɔfo mmienu na ɛte
Aborɔfo mmienu no te
Aborɔfo mmienu wɔ dan
Aborɔfo mpanimfoɔ ne wɔn
Aborɔfo na wɔn mu
Aborɔfo ne Abibifo bi
Aborɔfo ne Abibifoɔ atwa
Aborɔfo ne Abibifoɔ nyinaa
Aborɔfo ne abibifoɔ atwa
Aborɔfo ne bi nso
Aborɔfo ne bi ɛɛtwa
Aborɔfo ne ebibifo nyinaa
Aborɔfo ne wɔn maame
Aborɔfo nko ara na
Aborɔfo nnan bi tete
Aborɔfo nnan bi wɔ
Aborɔfo no bi ahyehyɛ
Aborɔfo no bi hyɛ
Aborɔfo no bi nso
Aborɔfo no bi yɛ
Aborɔfo no gyina keteke
Aborɔfo no kita nneɛma
Aborɔfo no mu bi
Aborɔfo no mu mmiɛnsa
Aborɔfo no nso hyɛ
Aborɔfo no nyinaa ahyehyɛ
Aborɔfo no nyinaa de
Aborɔfo no ɛɛsua adeɛ
Aborɔfo nsa bebree wɔ
Aborɔfo nsia ɛna emu
Aborɔfo nso egyina asaase
Aborɔfo nso gyina hɔ
Aborɔfo nso ka ho
Aborɔfo nso tena fam
Aborɔfo pii tete hyeepo
Aborɔfo tete pono ho
Aborɔfo tete saa ɛhyɛn
Aborɔfo wɔ egua yi
Aborɔfo yi wɔde ntɔkwa
Aborɔfofoɔ mfidie da wɔn
Aborɔfofoɔ no hyɛ kyɛ
Aborɔfofɔo mmienu gyina hɔ
Aborɔfoku bi ahyia wɔ
Aborɔfono nyinaa tete nkonnwa
Aborɔfoɔ bi adi ahyia
Aborɔfoɔ mmienu wɔ ball
Aborɔfoɔ no bi ɛhyɛ
Abosea bi gugu asase
Abosea fufuo bi nso
Abotan brown wɔ wɔn
Abotan brown ɛwɔ wɔn
Abotan kɛseɛ bi nso
Abotan nso wɔ nnipa
Abotire bobɔ wɔn ti
Abotire bɔ nnipa no
Abowomu fitaa bi nso
Aboɔ akɛseɛ nso wɔ
Aboɔ bi nso ɛwɔ
Aboɔ no nso so
Aboɔ nso wɔ hɔ
Aboɔ so wɔ hɔ
Abrante baako afa ne
Abrante baako agya ne
Abrante bi te ne
Abrante ne ababaawa no
Abrante no anim no
Abrante no de nsa
Abrante no gina wɔn
Abrante no te fam
Abrante no yɛ Buronyi
Abrante no yɛ oburoni
Abranteba bi gyina hɔ
Abranteba watam wɔn kurom
Abrantewa bi gyina hɔ
Abrantewa bi nso gyina
Abrantewaa bi nso hyɛ
Abranteɛ baako akuntun ne
Abranteɛ baako bi nso
Abranteɛ baako de ne
Abranteɛ baako egyina wɔn
Abranteɛ baako gyia wɔn
Abranteɛ baako gyina fam
Abranteɛ baako gyina wɔn
Abranteɛ baako kura ne
Abranteɛ baako kura wɔ
Abranteɛ baako ne panyini
Abranteɛ baako nso afura
Abranteɛ baako nso egyina
Abranteɛ baako nso gyina
Abranteɛ baako nso hyɛ
Abranteɛ baako nso rekyerɛ
Abranteɛ baako nso tare
Abranteɛ baako nso te
Abranteɛ baako nso woadane
Abranteɛ baako nso ɛhyɛ
Abranteɛ baako ogyina nea
Abranteɛ baako ɛte nneɛma
Abranteɛ bi asi ne
Abranteɛ bi da fam
Abranteɛ bi de ade
Abranteɛ bi de adeɛ
Abranteɛ bi de ne
Abranteɛ bi egyina ne
Abranteɛ bi gyina akyi
Abranteɛ bi gyina hɔ
Abranteɛ bi gyina ne
Abranteɛ bi ne abaayewa
Abranteɛ bi ne mmabaawa
Abranteɛ bi ne mmofra
Abranteɛ bi nso ahuri
Abranteɛ bi nso aka
Abranteɛ bi nso de
Abranteɛ bi nso fri
Abranteɛ bi nso gyina
Abranteɛ bi nso hyɛ
Abranteɛ bi nso kita
Abranteɛ bi nso retwa
Abranteɛ bi te fam
Abranteɛ bubuani te ne
Abranteɛ de ne nsa
Abranteɛ foforo nso te
Abranteɛ koro nso butuw
Abranteɛ ne abaabwa bi
Abranteɛ ne abaayaa bi
Abranteɛ ne ababaawa bi
Abranteɛ ne ababaawa no
Abranteɛ ne ababawa gyina
Abranteɛ ne abofra te
Abranteɛ ne baako baage
Abranteɛ ne maame abasiriwa
Abranteɛ ne mmabaa ɛda
Abranteɛ ne mmɔfra wɔ
Abranteɛ no de ade
Abranteɛ no de nsa
Abranteɛ no deɛ yɛtie
Abranteɛ no hyɛ ahwehwɛniwa
Abranteɛ no hyɛ ataaadeɛ
Abranteɛ no hyɛ ataade
Abranteɛ no hyɛ ataare
Abranteɛ no hyɛ trɔsa
Abranteɛ no hyɛ ɛkyɛ
Abranteɛ no nsa asɔ
Abranteɛ no nso hyɛ
Abranteɛ no yɛ kɔkɔɔ
Abranteɛ nso gyina akyiri
Abranteɛ nso ne ɔbaa
Abranteɛ yi anim ɛyɛ
Abranteɛ yi bɔ wɔ
Abranteɛ yi mu mmienu
Abranteɛ yi nkyɛn nso
Abranteɛ ɛkotow wɔn nkyɛn
Abranteɛ ɛne mmofra mmienu
Abrantiɛ no ama berebi
Abrantse baako nso eyi
Abrewa bi nso wɔ
Abrewa no kita ne
Abrofra no ama ne
Abrofuo ɛwɔ dan no
Abrosan anim no nsuo
Abrosan no ɔwɔware ara
Abrosan si wɔn akyi
Abrosan wɔ wɔn akyi
Abrɔfo bebree na wɔn
Abrɔfo bebree na wɔte
Abrɔfo bebree nam so
Abrɔfo bi ahyia wɔ
Abrɔfo bi gyina hɔ
Abrɔfo bi tete pono
Abrɔfo bi wɔ adwuma
Abrɔfo mmaa bi ne
Abrɔfo mmaa mmiɛnsa ne
Abrɔfo mmarima bebree bi
Abrɔfo mmarima mmiɛnsa bi
Abrɔfo mmea ne abrɔfo
Abrɔfo mmɛrima pii etwa
Abrɔfo ne Abibifoɔ bi
Abrɔfo nko ara na
Abrɔfo nkwadaa na wɔn
Abrɔfo no bi hyɛ
Abrɔfo no hyɛ ataade
Abrɔfo no nso retwa
Abrɔfoɔ ataare nso hyɛ
Abrɔsan ahorow sesa so
Abrɔsan akɛseɛ mmienu wɔ
Abrɔsan anim nyinaa ayɛ
Abrɔsan bi nso si
Abrɔsan no yɛ akokɔsrade
Abrɔsan nso si hɔ
Abrɔsan nso wɔ kurow
Abrɔsan tenten ɛwɔ wɔn
Abubuafoɔ bebree nam kwan
Abubuafoɔ ɛtete wɔn akonwa
Abue ne nsam de
Aburo afuo kakra nso
Aburo no yɛ yellow
Aburokyiman mu abɔnten so
Aburoo no dɔɔso wɔ
Abusua aduan nso si
Abusua bi ahyia wɔ
Abusua bi ahyiam wɔ
Abusua bi de wɔn
Abusua bi gyina wɔn
Abusua bi wɔ ɛhyɛn
Abusua ketewa bi ahyia
Abusua kumaa bi wɔ
Abusua kuo ahodoɔ nso
Abusua ne adɔfo bi
Abusua no ani agye
Abusua no atwa ahyia
Abusua no atwa pono
Abusua no mu bi
Abusua no nyinaa ahyia
Abusua wɔahyia mu wɔ
Abusua yi mu bi
Abusua yi mu nnipa
Abusua yi yɛ agya
Abusuafo no regye wɔn
Abusuafoa woehyiam mu wɔ
Abusuafoɔ bi ahyiam wɔ
Abusuafoɔ ne nyinaa hyɛ
Abusuakuo ahodoɔ nso de
Abusuakuo ahodoɔ nso ɛde
Abusuakuo bebree ɛrekɔsie wɔn
Abusuakuo bi egyina baabi
Abusuakuo bi egyina wɔn
Abusuakuo bi tena wɔn
Abusuakuo bi wɔ fie
Abusuakuo bi ɛwɔ beaeɛ
Abusuakuw bi nso wɔ
Abɔ abɔfra nso kita
Abɔde nyansapɛ ne ho
Abɔdoma no bi nso
Abɔfra abarimaa bi nso
Abɔfra baako ama ne
Abɔfra baako apagya ne
Abɔfra baako asɔ ne
Abɔfra baako de aduan
Abɔfra baako hyɛ sukuu
Abɔfra baako ka wɔn
Abɔfra baako nso de
Abɔfra baako nso donno
Abɔfra baako nso egyina
Abɔfra baako nso gyina
Abɔfra baako nso kura
Abɔfra baako nso redi
Abɔfra baako nso so
Abɔfra baako te fam
Abɔfra baako te ne
Abɔfra baako ɛde ne
Abɔfra bi abae ne
Abɔfra bi da fam
Abɔfra bi da hɔ
Abɔfra bi de aduane
Abɔfra bi gyina hɔ
Abɔfra bi gyina wɔn
Abɔfra bi hyɛ maame
Abɔfra bi mpaboa nso
Abɔfra bi ne mmaa
Abɔfra bi ne opanin
Abɔfra bi ne ɔpanin
Abɔfra bi nso gyina
Abɔfra bi nso nam
Abɔfra bi nso so
Abɔfra bi nso te
Abɔfra bi nso wɔ
Abɔfra bi nso ɛnam
Abɔfra bi nso ɛrebɔ
Abɔfra bi so gyina
Abɔfra bi te fam
Abɔfra bi yɛ atade
Abɔfra bi ɛda hɔ
Abɔfra biako nso asɔ
Abɔfra da fam redi
Abɔfra foforɔ nso koto
Abɔfra ketewa bi nso
Abɔfra ketewa bi wɔ
Abɔfra ketewa bi ɛda
Abɔfra ketewa no de
Abɔfra ne maame ne
Abɔfra no ahosuo yɛ
Abɔfra no ani abere
Abɔfra no ani agye
Abɔfra no apagya ne
Abɔfra no baako abɔ
Abɔfra no baako hyɛ
Abɔfra no baako yɛ
Abɔfra no bi ntaade
Abɔfra no de aduane
Abɔfra no de kɔɔpo
Abɔfra no de paano
Abɔfra no de serewa
Abɔfra no de twene
Abɔfra no hyɛ ataadeɛ
Abɔfra no hyɛ ataare
Abɔfra no hyɛ blue
Abɔfra no hyɛ soro
Abɔfra no maame asi
Abɔfra no ne ɔbaa
Abɔfra no nso rehwɛ
Abɔfra no rehwɛ adeɛ
Abɔfra no rehwɛ soro
Abɔfra no rema papa
Abɔfra no te maame
Abɔfra no tirinwi yɛ
Abɔfra no ɛde nensa
Abɔfra no ɛwɔ tɔys
Abɔfra nso gyina hɔ
Abɔfra te wɔn mfimfini
Abɔfra te wɔn nkyɛn
Abɔfra yi abɔ ne
Abɔfra yi da ho
Abɔfra yi nso kita
Abɔfra ɛne ne papa
Abɔfraba bi da hɔ
Abɔfraba bi nso tena
Abɔfraba ketewa bi nso
Abɔfraba no so kɛntɛn
Abɔfrabɔ no rehwɛ wɔ
Abɔnframa bɔ no mu
Abɔnmmɔfoɔ nso gyina nkyɛn
Abɔnten soa nnipa bebree
Abɛ ahaban nso ɛwɔ
Abɛ nso sisi nsuo
Abɛduaba ahoroɔ nso ɛwɔ
Abɛn hyehyɛ wɔn ano
Abɛɛfo afidie no ahosuo
Abɛɛfo afidie nso si
Abɛɛfo mfidie nso wɔ
Abɛɛfo mfidie sisi wɔn
Abɛɛfo mfir bi nso
Abɛɛfo twere no so
Abɛɛmoa bi nso tena
Abɛɛmoaa no tiri yɛ
Abɛɛmowaa baako nso ɛgyina
Abɛɛmuwa no te fam
Ada no so no
Adaatse ebaasa bi nso
Adagyeɛ nni dwam hɔ
Adaka bi nso gugu
Adaka bi nso hyɛ
Adaka bi nso si
Adaka bi nso so
Adaka brown si wɔn
Adaka no ahosuo yɛ
Adaka no bi si
Adaka no nea esi
Adaka no so wɔn
Adaka no te sɛ
Adaka no ti yɛ
Adaka no yɛ brown
Adaka no yɛ dɔtesu
Adaka nso sisi hɔ
Adaka pi nso wowɔ
Adan adan no yɛ
Adan adan nso sisi
Adan ahodoɔ nso wɔ
Adan ahodoɔ so ɛwɔ
Adan akɛseakɛseɛ nso sisi
Adan atenten bebree wɔ
Adan atenten bebree ɛwɔ
Adan atenten ne tiatia
Adan atenten nso sisi
Adan atenten nso wɔ
Adan atenten wɔ ɔkwan
Adan atsentsen bi nso
